    P1009 	-17878.360013	206189.162315	 -230.170381	 1966.277667
    P1018 	-31087.736221	183364.044863	 -365.162126	 1738.599781
    P1019 	-5148.416987	183557.917575	 -104.267382	 1737.684202
    P1020 	20379.096300	183178.810591	  152.398096	 1730.835014
    P1021 	45849.829976	183489.262409	  408.593898	 1730.646004
    P1041 	-133113.769998	138956.206062	-1394.865365	 1299.932653
    P1051 	122204.429617	139369.807774	 1171.827604	 1279.576656
    P1054 	-196981.211679	117000.708807	-2040.595099	 1081.824900
    P1055 	-172272.099105	116521.676360	-1790.818316	 1075.813189
    P1056 	-145570.753925	117214.172029	-1521.345178	 1081.456211
    P1059 	-69426.347869	116491.503231	 -755.093278	 1069.763192
    P1064 	58881.678165	116691.131443	  533.067987	 1061.007858
    P1067 	135375.758169	117212.491889	 1302.057517	 1056.843958
    P1068 	160787.056712	116013.392807	 1557.914852	 1041.171320
    P1071 	-185012.300413	94667.160828	-1920.280562	  855.989769
    P1072 	-159270.412556	94673.752984	-1660.387194	  854.947718
    P1078 	-4983.163730	94890.022392	 -109.459852	  848.331125
    P1084 	146953.949414	94241.663185	 1416.382134	  826.235343
    P1085 	173896.381752	95140.389380	 1687.934442	  831.346315
    P1102 	160992.112662	73602.709796	 1555.912271	  618.513267
    P1106 	-184447.120817	51352.987167	-1916.293425	  419.601640
    P1110 	-82313.561787	49031.576223	 -888.118629	  392.306407
    P1113 	71897.395585	50211.562732	  658.756039	  394.422425
    P1117 	173144.371479	50223.339956	 1676.455706	  383.628305
    P1119 	-222667.720108	28727.247995	-2304.005014	  193.162343
    P1132 	212379.769534	28923.029868	 2070.746492	  165.638692
    P1136 	-133207.828039	 5862.327303	-1402.138802	  -39.680170
    P1141 	121927.090830	 5611.391754	 1158.223744	  -56.749230
    P1158 	217438.202885	-22335.720346	 2118.818944	 -347.408481
    P1160 	-184553.003504	-37621.255166	-1922.897469	 -474.880855
    P1161 	-159293.179450	-37774.642003	-1667.946877	 -477.263460
    P1167 	71576.149402	-38106.928076	  650.305938	 -491.147266
    P1171 	173633.220025	-37896.461306	 1676.071142	 -498.043713
    P1174 	-196771.271362	-59711.580799	-2048.400650	 -696.182539
    P1175 	-171802.771543	-59748.511760	-1796.067279	 -697.457099
    P1176 	-146342.485613	-60568.205421	-1539.302929	 -706.591065
    P1191 	-209952.854137	-82339.007452	-2184.249921	 -922.608859
    P1192 	-185059.263986	-82099.805469	-1932.265454	 -921.230083
    P1193 	-158802.781321	-81722.613534	-1667.005163	 -918.478334
    P1194 	-133564.323977	-82339.462066	-1412.575105	 -925.645610
    P1196 	-82126.291686	-81824.797700	 -894.929561	 -922.504027
    P1197 	-56820.842480	-82793.296775	 -640.774926	 -933.297355
    P1198 	-30334.920353	-81636.613884	 -374.776172	 -922.858233
    P1199 	-4743.313130	-82643.123809	 -118.044321	 -934.220955
    P1200 	19948.300152	-82356.756463	  129.704217	 -932.653776
    P1201 	45846.349795	-82679.335157	  389.526722	 -937.414448
    P1202 	71281.683559	-82378.308481	  644.821611	 -936.038276
    P1204 	123365.222558	-81965.866236	 1168.068011	 -935.867262
    P1205 	147694.599491	-82524.652811	 1412.805238	 -943.663337
    P1206 	174180.917829	-83385.895117	 1679.582343	 -954.955964
    P1207 	198952.174210	-82856.922044	 1929.533762	 -952.367062
    P1208 	-197420.443956	-104838.219093	-2060.046985	-1148.688777
    P1209 	-171570.459666	-104487.292856	-1798.498659	-1146.335565
    P1210 	-145651.486048	-104651.431966	-1536.812917	-1149.109519
    P1211 	-120601.397352	-104841.264318	-1284.307045	-1152.089427
    P1212 	-94740.477123	-104450.199085	-1023.916791	-1149.276902
    P1213 	-69462.914317	-104070.225593	 -769.685237	-1146.575444
    P1214 	-43792.181838	-104217.217337	 -511.769130	-1149.237681
    P1215 	-18626.992982	-104798.510775	 -259.116597	-1156.317799
    P1216 	 7052.336883	-105344.992105	   -1.379953	-1163.172537
    P1217 	33038.590425	-104928.178666	  259.488618	-1160.473622
    P1218 	58473.852859	-104778.997329	  514.844995	-1160.575895
    P1219 	84897.441191	-104512.449811	  780.240053	-1159.730213
    P1220 	109917.747224	-104619.112725	 1031.687285	-1162.728284
    P1221 	135848.790202	-104615.882726	 1292.533959	-1164.902771
    P1222 	166390.142249	-111490.063413	 1599.874553	-1237.056329
    P1223 	186624.016619	-104419.443807	 1804.270702	-1167.966336
    P1224 	-184077.925241	-126812.573251	-1927.931333	-1369.567093
    P1225 	-158277.300511	-128217.452635	-1667.213744	-1384.948975
    P1226 	-133201.233937	-126908.331975	-1413.899473	-1373.038249
    P1227 	-107397.861942	-126576.190690	-1153.765678	-1370.941534
    P1228 	-82383.901785	-126875.567862	 -901.973635	-1375.156036
    P1229 	-56704.039412	-126485.728117	 -643.653721	-1372.505922
    P1231 	-5021.416290	-126633.172781	 -124.372472	-1376.723933
    P1233 	45317.261588	-127121.208065	  381.156436	-1384.686863
    P1234 	71893.559041	-127073.862431	  648.155256	-1386.031979
    P1235 	97424.559729	-126564.496092	  904.819453	-1382.817036
    P1236 	122269.660690	-126391.069621	 1154.758130	-1383.115899
    P1237 	147679.329460	-127451.133324	 1410.576818	-1396.106449
    P1238 	174007.665289	-126976.584986	 1676.071168	-1393.952354
    P1240 	-140319.389180	-153342.275494	-1489.355849	-1637.921928
    P1241 	-120777.170060	-148877.713325	-1291.471258	-1594.194742
    P1243 	-68630.465752	-150667.101392	 -766.321570	-1615.014781
    P1244 	-44418.239275	-149911.254516	 -522.636152	-1608.768107
