    P1009 	 2007.791835	204777.869518	  -30.148646	 1949.608460
    P1018 	-10927.283669	182640.978939	 -162.451734	 1729.110211
    P1019 	14912.014406	182753.309392	   97.426496	 1727.208105
    P1020 	40211.754267	183043.928131	  351.920178	 1726.901177
    P1021 	65555.473220	183702.595813	  606.987035	 1729.988715
    P1041 	-113071.200977	138162.382467	-1192.978327	 1290.543460
    P1051 	142259.117989	138340.302653	 1373.814945	 1266.238765
    P1054 	-177345.053745	115488.904867	-1842.048629	 1065.429915
    P1055 	-152223.248293	117741.491487	-1588.391664	 1086.921558
    P1056 	-125760.690406	115371.399470	-1321.795465	 1061.653622
    P1059 	-49278.650096	116668.665827	 -552.693146	 1070.027162
    P1064 	78768.949619	116376.302150	  732.830990	 1055.575866
    P1067 	155467.487934	117210.252429	 1504.507480	 1053.825014
    P1068 	178371.610694	119808.640805	 1735.784134	 1076.080932
    P1071 	-164912.178810	96210.339645	-1717.210443	  870.445127
    P1072 	-138939.434586	95101.175737	-1455.403220	  858.108823
    P1078 	14412.549981	94110.239912	   85.073552	  838.855351
    P1084 	167023.824727	96423.488260	 1618.799773	  845.078525
    P1085 	194023.432572	94775.134099	 1891.001040	  824.527370
    P1102 	181296.412308	71982.180188	 1760.371195	  599.470879
    P1106 	-164382.190958	49065.377424	-1713.873924	  395.591048
    P1110 	-63600.738797	51130.683661	 -700.167987	  412.302254
    P1113 	91815.455081	48667.286366	  858.514815	  377.029513
    P1117 	193363.592357	50109.126012	 1880.230956	  379.664328
    P1119 	-202676.829454	27854.991529	-2101.646944	  183.426407
    P1132 	232258.146406	27710.358982	 2271.449163	  150.507420
    P1136 	-113717.885546	 5387.445070	-1206.153415	  -45.395261
    P1141 	142115.465078	 6286.892046	 1361.106206	  -52.123842
    P1158 	232051.609957	-16371.071256	 2266.660502	 -289.834733
    P1160 	-164276.021590	-38107.116612	-1718.312527	 -480.702971
    P1161 	-138988.078794	-38790.689345	-1463.475126	 -488.413682
    P1167 	91582.584227	-39709.079824	  850.945765	 -508.920312
    P1171 	193576.360410	-39398.165811	 1876.936032	 -515.540084
    P1174 	-177099.314914	-61617.713875	-1849.835469	 -716.267221
    P1175 	-151529.110156	-61029.147778	-1591.733922	 -711.282551
    P1176 	-126650.287325	-60362.528813	-1341.011960	 -705.482718
    P1191 	-189953.240089	-83471.321456	-1982.039228	 -934.989730
    P1192 	-164758.325479	-82797.151171	-1727.352756	 -929.246567
    P1193 	-138466.856221	-83677.870474	-1462.221597	 -939.123500
    P1194 	-113494.678225	-83339.065718	-1210.655835	 -936.708015
    P1196 	-62213.024225	-83360.285899	 -695.031861	 -939.029708
    P1197 	-36673.369427	-82990.803082	 -438.534703	 -936.452862
    P1198 	-10331.727068	-84887.389922	 -174.291869	 -956.787559
    P1199 	15105.026670	-83638.797172	   81.032378	 -945.566503
    P1200 	40187.227808	-82588.328041	  332.768184	 -936.444408
    P1201 	65932.307830	-83516.989789	  591.087457	 -947.423045
    P1202 	91569.968476	-83341.847360	  848.517215	 -947.471228
    P1204 	143219.882490	-84959.065959	 1367.675164	 -968.026710
    P1205 	167876.570358	-83222.310256	 1616.039448	 -952.943708
    P1206 	193238.067072	-82997.780593	 1871.799823	 -953.407314
    P1207 	219018.518894	-82478.732870	 2132.239554	 -951.252256
    P1208 	-177193.195267	-104895.468287	-1855.526197	-1150.353562
    P1209 	-151481.456715	-105395.376808	-1595.846411	-1156.519598
    P1210 	-125569.224774	-106498.379156	-1334.636585	-1168.731166
    P1211 	-100921.246516	-105196.108362	-1086.257789	-1156.740173
    P1212 	-74830.442470	-105876.588093	 -823.855806	-1164.745595
    P1213 	-49228.902441	-106189.952660	 -566.568327	-1169.089386
    P1214 	-23720.241941	-105215.477495	 -310.270460	-1160.544956
    P1215 	 1629.643841	-104902.886675	  -55.733315	-1158.732592
    P1216 	26936.813813	-103878.937437	  198.380287	-1149.866069
    P1217 	52936.442498	-105800.272333	  459.266736	-1170.820602
    P1218 	78838.055291	-105625.913961	  719.401808	-1170.837207
    P1219 	104762.998012	-107093.115140	  979.838228	-1187.573404
    P1220 	130005.165681	-105818.656147	 1233.768508	-1176.844486
    P1221 	155519.664539	-107191.826375	 1490.592833	-1193.033440
    P1222 	181060.533175	-105881.367293	 1748.133519	-1182.437147
    P1223 	206726.108079	-106534.869571	 2007.272398	-1191.915923
    P1224 	-164094.545060	-128309.295074	-1726.145236	-1385.728246
    P1225 	-140336.126288	-126382.299648	-1485.919137	-1367.596245
    P1226 	-113546.890885	-127460.727398	-1215.883172	-1379.740718
    P1227 	-87600.294627	-128551.154059	 -954.677621	-1391.979083
    P1228 	-62558.964617	-127027.420694	 -702.563192	-1377.926387
    P1229 	-36642.321833	-127249.472672	 -442.037452	-1381.506703
    P1231 	14706.613889	-128169.094560	   73.759329	-1393.665816
    P1233 	65234.045666	-126459.775196	  581.453644	-1379.744041
    P1234 	91486.615963	-128305.921447	  845.203921	-1400.298350
    P1235 	117210.297856	-127970.969444	 1103.958759	-1399.015645
    P1236 	142531.178099	-127672.394344	 1358.896984	-1398.267713
    P1237 	167803.801916	-126727.293105	 1613.670917	-1391.214720
    P1238 	193806.789427	-128535.792724	 1876.094004	-1412.274533
    P1240 	-140316.640036	-153340.908301	-1489.402386	-1638.052477
    P1241 	-100450.420755	-149649.191368	-1086.642385	-1603.256762
    P1243 	-51047.737735	-147631.672959	 -588.969762	-1585.747635
    P1244 	-24631.965076	-147906.411810	 -323.329711	-1590.046645
    P1245 	 1811.637180	-149110.681095	  -57.609568	-1603.788019
    P1246 	26936.449210	-149829.365528	  194.867395	-1612.660324
    P1247 	53029.567335	-149963.791173	  457.151119	-1615.828285
    P1248 	78203.887979	-149693.063611	  710.307628	-1614.980827
